file,status,objective,n_vars,n_cons,error
GAMS-model ex14_1_7.dag.gms writte.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
GAMS-model ex8_3_12.dag.gms writte.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
GAMS-model ex8_3_4.dag.gms written.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
abel.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
alkyl.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
chain50.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
chems.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
circle.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
dispatch.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
elec100.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
elec50.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
ex2_1_3.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
ex2_1_8.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
ex5_3_3.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
ex5_4_4.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
ex7_3_5.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
ex8_3_7.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
ex8_6_1.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
ex_10_1.txt,ERROR,NaN,0,0,"ArgumentError(""reducing over an empty collection is not allowed; consider supplying `init` to the reducer"")"
